name,iso_country,iso_region,municipality,iata_code,region,country_name
Abu Dhabi International Airport,AE,AE-AZ,Abu Dhabi,AUH,Abu Zaby,United Arab Emirates
Bateen Airport,AE,AE-AZ,Abu Dhabi,AZI,Abu Zaby,United Arab Emirates
Al Ain International Airport,AE,AE-AZ,Al Ain,AAN,Abu Zaby,United Arab Emirates
Sir Bani Yas Airport,AE,AE-AZ,Sir Bani Yas Island,XSB,Abu Zaby,United Arab Emirates
Dubai International Airport,AE,AE-DU,Dubai,DXB,Dubayy,United Arab Emirates
Al Maktoum International Airport,AE,AE-DU,Jebel Ali,DWC,Dubayy,United Arab Emirates
Fujairah International Airport,AE,AE-FU,Fujairah,FJR,Al Fujayrah,United Arab Emirates
Ras Al Khaimah International Airport,AE,AE-RK,Ras Al Khaimah,RKT,Ra's al Khaymah,United Arab Emirates
Sharjah International Airport,AE,AE-SH,Sharjah,SHJ,Ash Shariqah,United Arab Emirates
Herat Airport,AF,AF-HER,Herat,HEA,Herat,Afghanistan
Jalalabad Airport,AF,AF-NAN,Jalalabad,JAA,Nangarhar,Afghanistan
Hamid Karzai International Airport,AF,AF-KAB,Kabul,KBL,Kabul,Afghanistan
Kandahar Airport,AF,AF-KAN,Kandahar,KDH,Kandahar,Afghanistan
Maimana Airport,AF,AF-FYB,Maymana,MMZ,Faryab,Afghanistan
Mazar I Sharif Airport,AF,AF-BAL,Mazar-i-Sharif,MZR,Balkh,Afghanistan
Kunduz Airport,AF,AF-KDZ,Kunduz,UND,Kunduz,Afghanistan
V.C. Bird International Airport,AG,AG-03,St. John's,ANU,Saint George,Antigua and Barbuda
Clayton J Lloyd International Airport,AI,AI,The Valley,AXA,Anguilla,Anguilla
Tirana International Airport Mother Teresa,AL,AL-11,Tirana,TIA,Tirane,Albania
Gyumri Shirak Airport,AM,AM-SH,Gyumri,LWN,Sirak,Armenia
Zvartnots International Airport,AM,AM-ER,Yerevan,EVN,Erevan,Armenia
Mbanza Congo Airport,AO,AO-ZAI,Mbanza Congo,SSY,Zaire,Angola
Benguela Airport,AO,AO-BGU,Benguela,BUG,Benguela,Angola
Cabinda Airport,AO,AO-CAB,Cabinda,CAB,Cabinda,Angola
Catumbela Airport,AO,AO-BGU,Catumbela,CBT,Benguela,Angola
Dundo Airport,AO,AO-LNO,Chitato,DUE,Lunda-Norte,Angola
Ngjiva Pereira Airport,AO,AO-CNN,Ngiva,VPE,Cunene,Angola
Nova Lisboa Airport,AO,AO-HUA,Huambo,NOV,Huambo,Angola
Kuito Airport,AO,AO-BIE,Kuito,SVP,Bie,Angola
Quatro de Fevereiro Airport,AO,AO-LUA,Luanda,LAD,Luanda,Angola
Malanje Airport,AO,AO-MAL,Malanje,MEG,Malange,Angola
Menongue Airport,AO,AO-CCU,Menongue,SPP,Cuando Cubango,Angola
Namibe Airport,AO,AO-NAM,Namibe,MSZ,Namibe,Angola
Negage Airport,AO,AO-UIG,Negage,GXG,Uige,Angola
Porto Amboim Airport,AO,AO-CUS,Port Amboim,PBN,Cuanza-Sul,Angola
Saurimo Airport,AO,AO-LSU,Saurimo,VHC,Lunda-Sul,Angola
Soyo Airport,AO,AO-ZAI,Soyo,SZA,Zaire,Angola
Sumbe Airport,AO,AO-CUS,Sumbe,NDD,Cuanza-Sul,Angola
Lubango Airport,AO,AO-HUI,Lubango,SDD,Huila,Angola
Luena Airport,AO,AO-MOX,Luena,LUO,Moxico,Angola
Uige Airport,AO,AO-UIG,Uige,UGO,Uige,Angola
Xangongo Airport,AO,AO-CNN,Xangongo,XGN,Cunene,Angola
Comodoro Pierrestegui Airport,AR,AR-E,Concordia,COC,Entre Rios,Argentina
Gualeguaychu Airport,AR,AR-E,Gualeguaychu,GHU,Entre Rios,Argentina
General Urquiza Airport,AR,AR-E,Parana,PRA,Entre Rios,Argentina
Islas Malvinas Airport,AR,AR-S,Rosario,ROS,Santa Fe,Argentina
Sauce Viejo Airport,AR,AR-S,Santa Fe,SFN,Santa Fe,Argentina
Jorge Newbery Airpark,AR,AR-C,Buenos Aires,AEP,Ciudad Autonoma de Buenos Aires,Argentina
Ingeniero Ambrosio Taravella Airport,AR,AR-X,Cordoba,COR,Cordoba,Argentina
San Fernando Airport,AR,AR-B,San Fernando,FDO,Buenos Aires,Argentina
La Plata Airport,AR,AR-B,La Plata,LPG,Buenos Aires,Argentina
El Palomar Airport,AR,AR-B,El Palomar,EPA,Buenos Aires,Argentina
Ministro Pistarini International Airport,AR,AR-B,Buenos Aires,EZE,Buenos Aires,Argentina
Rincon De Los Sauces Airport,AR,AR-Q,Rincon de los Sauces,RDS,Neuquen,Argentina
Zapala Airport,AR,AR-Q,Zapala,APZ,Neuquen,Argentina
El Plumerillo Airport,AR,AR-M,Mendoza,MDZ,Mendoza,Argentina
Comodoro D.R. SalomÃ³n Airport,AR,AR-M,Malargue,LGS,Mendoza,Argentina
Suboficial Ay Santiago Germano Airport,AR,AR-M,San Rafael,AFA,Mendoza,Argentina
Catamarca Airport,AR,AR-K,Catamarca,CTC,Catamarca,Argentina
Vicecomodoro Angel D. La Paz AragonÃ©s Airport,AR,AR-G,Santiago del Estero,SDE,Santiago del Estero,Argentina
Capitan V A Almonacid Airport,AR,AR-F,La Rioja,IRJ,La Rioja,Argentina
Termas de RÃ­o Hondo international Airport,AR,AR-G,Termas de R�o Hondo,RHD,Santiago del Estero,Argentina
Teniente Benjamin Matienzo Airport,AR,AR-T,San Miguel de Tucum�n,TUC,Tucuman,Argentina
Domingo Faustino Sarmiento Airport,AR,AR-J,San Juan,UAQ,San Juan,Argentina
Area De Material Airport,AR,AR-X,Rio Cuarto,RCU,Cordoba,Argentina
Villa Dolores Airport,AR,AR-X,Villa Dolores,VDR,Cordoba,Argentina
Villa Reynolds Airport,AR,AR-D,Villa Mercedes,VME,San Luis,Argentina
Brigadier Mayor D Cesar Raul Ojeda Airport,AR,AR-D,San Luis,LUQ,San Luis,Argentina
Corrientes Airport,AR,AR-W,Corrientes,CNQ,Corrientes,Argentina
Resistencia International Airport,AR,AR-H,Resistencia,RES,Chaco,Argentina
Formosa Airport,AR,AR-P,Formosa,FMA,Formosa,Argentina
Cataratas Del IguazÃº International Airport,AR,AR-N,Puerto Iguazu,IGR,Misiones,Argentina
Paso De Los Libres Airport,AR,AR-W,Paso de los Libres,AOL,Corrientes,Argentina
Monte Caseros Airport,AR,AR-W,Monte Caseros,MCS,Corrientes,Argentina
Libertador Gral D Jose De San Martin Airport,AR,AR-N,Posadas,PSS,Misiones,Argentina
Martin Miguel De Guemes International Airport,AR,AR-A,Salta,SLA,Salta,Argentina
Gobernador Horacio Guzman International Airport,AR,AR-Y,San Salvador de Jujuy,JUJ,Jujuy,Argentina
OrÃ¡n Airport,AR,AR-A,Or�n,ORA,Salta,Argentina
General Enrique Mosconi Airport,AR,AR-A,Tartagal,TTG,Salta,Argentina
Goya Airport,AR,AR-W,Goya,OYA,Corrientes,Argentina
Reconquista Airport,AR,AR-S,Reconquista,RCQ,Santa Fe,Argentina
Curuzu Cuatia Airport,AR,AR-W,Curuzu Cuatia,UZU,Corrientes,Argentina
El Bolson Airport,AR,AR-R,El Bolson,EHL,Rio Negro,Argentina
General E. Mosconi Airport,AR,AR-U,Comodoro Rivadavia,CRD,Chubut,Argentina
Brigadier Antonio Parodi Airport,AR,AR-U,Esquel,EQS,Chubut,Argentina
Las Heras Airport,AR,AR-Z,Las Heras,LHS,Santa Cruz,Argentina
Almirante Marco Andres Zar Airport,AR,AR-U,Rawson,REL,Chubut,Argentina
Gobernador Castello Airport,AR,AR-R,Viedma/Carmen de Patagones,VDM,Rio Negro,Argentina
El Tehuelche Airport,AR,AR-U,Puerto Madryn,PMY,Chubut,Argentina
El Calafate Airport,AR,AR-Z,El Calafate,FTE,Santa Cruz,Argentina
Puerto Deseado Airport,AR,AR-Z,Puerto Deseado,PUD,Santa Cruz,Argentina
Hermes Quijada International Airport,AR,AR-V,Rio Grande,RGA,Tierra del Fuego,Argentina
Piloto Civil N. FernÃ¡ndez Airport,AR,AR-Z,Rio Gallegos,RGL,Santa Cruz,Argentina
Malvinas Argentinas Airport,AR,AR-V,Ushuahia,USH,Tierra del Fuego,Argentina
Capitan D Daniel Vazquez Airport,AR,AR-Z,San Julian,ULA,Santa Cruz,Argentina
Perito Moreno Airport,AR,AR-Z,Perito Moreno,PMQ,Santa Cruz,Argentina
Santa Cruz Airport,AR,AR-Z,Santa Cruz,RZA,Santa Cruz,Argentina
Comandante Espora Airport,AR,AR-B,Bahia Blanca,BHI,Buenos Aires,Argentina
General Pico Airport,AR,AR-L,General Pico,GPO,La Pampa,Argentina
Tres Arroyos Airport,AR,AR-B,Tres Arroyos,OYO,Buenos Aires,Argentina
Santa Teresita Airport,AR,AR-B,Santa Teresita,SST,Buenos Aires,Argentina
Ãstor Piazzola International Airport,AR,AR-B,Mar del Plata,MDQ,Buenos Aires,Argentina
Presidente Peron Airport,AR,AR-Q,Neuquen,NQN,Neuquen,Argentina
Necochea Airport,AR,AR-B,Necochea,NEC,Buenos Aires,Argentina
Comodoro Pedro Zanni Airport,AR,AR-B,Pehuaj�,PEH,Buenos Aires,Argentina
Santa Rosa Airport,AR,AR-L,Santa Rosa,RSA,La Pampa,Argentina
San Carlos De Bariloche Airport,AR,AR-R,San Carlos de Bariloche,BRC,Rio Negro,Argentina
HÃ©roes De Malvinas Airport,AR,AR-B,Tandil,TDL,Buenos Aires,Argentina
Villa Gesell Airport,AR,AR-B,Villa Gesell,VLG,Buenos Aires,Argentina
Cutral-Co Airport,AR,AR-Q,Cutral-Co,CUT,Neuquen,Argentina
Aviador C. Campos Airport,AR,AR-Q,Chapelco/San Martin de los Andes,CPC,Neuquen,Argentina
Pago Pago International Airport,AS,AS-U-A,Pago Pago,PPG,Western District,American Samoa
Graz Airport,AT,AT-6,Graz,GRZ,Steiermark,Austria
Innsbruck Airport,AT,AT-7,Innsbruck,INN,Tirol,Austria
Klagenfurt Airport,AT,AT-2,Klagenfurt am W�rthersee,KLU,Karnten,Austria
Linz HÃ¶rsching Airport,AT,AT-4,Linz,LNZ,Oberosterreich,Austria
Salzburg Airport,AT,AT-5,Salzburg,SZG,Salzburg,Austria
Vienna International Airport,AT,AT-9,Vienna,VIE,Wien,Austria
Albany Airport,AU,AU-WA,Albany,ALH,Western Australia,Australia
Alpha Airport,AU,AU-QLD,Alpha,ABH,Queensland,Australia
Ararat Airport,AU,AU-VIC,Aarat,ARY,Victoria,Australia
